ID,Index,MW,logP,Ring,HBD,HBA,RB,tPSA
ZINC00707274,0,475.54,7.08,7,1,5,2,68
ZINC33675810,1,522.6,7.7,7,2,5,6,100
ZINC33257539,2,467.53,5.52,5,2,5,5,100
ZINC17862766,3,520.59,6.49,9,1,3,3,66
ZINC00707274,4,475.54,7.08,7,1,5,2,68
ZINC25164045,5,489.57,8.39,6,1,3,3,45
ZINC13086542,6,490.63,6.8,6,1,4,4,61
ZINC04134110,7,486.58,8.24,7,0,4,4,51
ZINC03001639,8,524.62,7.49,7,0,2,0,47
ZINC01354722,9,525.65,6.28,6,1,5,5,79
ZINC00848772,10,528.66,6.72,7,0,2,0,47
ZINC02908937,11,494.45,5.89,6,0,6,4,86
ZINC04017283,12,520.59,6.49,9,1,3,3,66
ZINC01354716,13,511.63,5.97,6,1,5,5,79
ZINC13424359,14,476.51,4.14,7,2,10,4,158
ZINC25164550,15,501.61,8.26,6,1,4,4,54
ZINC15785654,16,483.57,6.98,6,0,4,4,54
ZINC21522812,17,523.66,5.21,6,0,6,5,71
ZINC65331076,18,525.65,6.96,6,1,3,5,62
ZINC17198380,19,477.95,6.4,6,0,5,4,82
ZINC35828915,20,486.57,6.86,6,1,3,4,62
ZINC09344814,21,491.98,6.71,6,0,5,4,82
ZINC08927021,22,512.53,6.65,10,0,6,0,68
ZINC02267002,23,406.4,5.52,6,1,6,2,89
ZINC00781092,24,478.47,6.41,6,2,5,2,59
ZINC02410982,25,477.57,4.71,6,5,7,1,85
ZINC16526136,26,476.58,7.71,6,1,4,6,64
ZINC04020647,27,519.61,3.88,6,1,7,4,82
ZINC25149504,28,506.53,5.69,5,0,5,5,62
ZINC15861910,29,496.61,7.43,6,2,3,6,70
ZINC33257540,30,467.53,5.52,5,2,5,5,100
ZINC33259687,31,481.6,4.62,5,1,6,5,80
ZINC33260361,32,498.61,4.63,6,0,6,5,66
ZINC20179788,33,503.07,6.54,5,0,3,4,40
ZINC00781092,34,478.47,6.41,6,2,5,2,59
ZINC13563973,35,476.61,6.49,6,1,4,4,61
ZINC12086085,36,429.48,3.14,6,3,7,2,70
ZINC00866780,37,470.45,4.87,6,1,6,2,68
ZINC00830023,38,536.94,6.22,7,0,5,2,77
ZINC12877161,39,450.59,5.51,6,2,2,3,53
ZINC00781094,40,478.47,6.41,6,2,5,2,59
ZINC97111862,41,496.53,2.34,6,1,6,4,118
ZINC18159062,42,493.56,7.03,9,0,3,3,46
ZINC09357211,43,502.59,7.35,6,0,3,3,49
ZINC09805267,44,516.64,7.56,6,2,5,6,59
ZINC15785651,45,469.54,6.81,6,0,4,4,54
ZINC15785653,46,483.57,6.98,6,0,4,4,54
ZINC32996484,47,473.92,5.55,5,2,5,5,100
ZINC48990577,48,473.6,4.46,5,0,5,4,52
ZINC09804794,49,482.97,6.73,6,2,5,2,71
ZINC01101579,50,476.58,7.3,5,2,2,4,64
ZINC64611935,51,457.58,4.47,6,5,7,6,65
ZINC20104754,52,499.06,7.03,5,1,4,5,48
ZINC06460779,53,457.49,6.26,6,2,4,4,87
ZINC04017284,54,520.59,6.49,9,1,3,3,66
ZINC04158032,55,516.67,7.8,6,1,4,7,49
ZINC08455749,56,519.04,7.86,6,0,3,3,49
ZINC02859412,57,472.5,6.83,6,1,5,4,85
ZINC33010132,58,494.64,4.8,6,0,6,5,66
ZINC08430237,59,517.41,7.39,6,2,5,2,71
ZINC04157260,60,516.67,7.8,6,1,4,7,49
ZINC00781094,61,478.47,6.41,6,2,5,2,59
ZINC02269655,62,484.04,7.7,5,0,2,4,29
ZINC02832254,63,473.51,7,7,0,6,2,73
ZINC01372337,64,520.62,4.49,7,0,9,4,84
ZINC13576905,65,517.55,4.06,5,5,9,11,85
ZINC00932085,66,480.57,4.2,6,0,7,4,76
ZINC01223302,67,480.59,6.39,6,1,5,4,75
ZINC01077927,68,454.48,5.12,7,2,7,2,78
ZINC04020823,69,505.58,3.57,6,1,7,4,82
ZINC02051117,70,470.55,6.84,7,1,4,3,59
ZINC01381714,71,576.73,4.89,7,1,9,7,95
ZINC02074776,72,401.51,7.18,6,1,2,2,29
ZINC02914870,73,498.97,7.97,6,1,5,3,85
ZINC33025254,74,463.58,5.33,5,1,5,5,61
ZINC01440046,75,503.4,6.47,6,2,5,2,59
ZINC15303965,76,448.49,6.99,5,2,3,2,41
ZINC15785652,77,469.54,6.81,6,0,4,4,54
ZINC15823781,78,496.55,3.51,6,0,7,4,75
ZINC25141982,79,489.54,6.86,5,1,2,5,48
ZINC15305595,80,521.71,5.76,9,2,4,4,54
ZINC34910910,81,491.52,5.22,5,0,5,4,54
ZINC02186868,82,453.97,8.06,6,1,3,2,42
ZINC16525619,83,474.54,6.99,6,1,5,4,72
ZINC14162335,84,457.53,4.05,6,3,7,1,80
ZINC23450777,85,512.49,3.33,5,1,7,5,103
ZINC46012567,86,491.52,5.22,5,0,5,4,54
ZINC10076003,87,499.62,7.04,6,0,5,4,82
ZINC01077927,88,454.48,5.12,7,2,7,2,78
ZINC02181612,89,478.55,7.63,6,1,5,3,85
ZINC03113639,90,426.52,8.17,6,0,3,3,38
ZINC09635899,91,488.56,7.04,6,2,4,4,58
ZINC33020612,92,496.61,7.43,6,2,3,6,70
ZINC21092690,93,519.99,7.14,6,1,4,4,71
ZINC09860257,94,529.65,5.4,7,0,7,7,80
ZINC08455747,95,519.04,7.86,6,0,3,3,49
ZINC12323590,96,483.45,3.42,5,3,5,3,107
ZINC18168571,97,491.98,6.71,6,0,5,4,82
ZINC03093082,98,488.41,8.72,6,1,3,2,42
ZINC20214814,99,526.59,4.14,7,1,6,4,83
ZINC09783203,100,499.62,6.31,6,1,5,5,61